Test Id,Cleaned Title,Cleaned Description,Combined Input,Custom Summary,Custom ROUGE-1,T5 Summary,T5 ROUGE-1,Flan-T5 Summary,Flan-T5 ROUGE-1,BART Summary,BART ROUGE-1
36,"font size, style, and color for headline, description text, labels, infield data, and grid info should be standard as specified in srs.","font size, style, and color for headline, description text, labels, infield data, and grid info should be standard as specified in srs.","Title: font size, style, and color for headline, description text, labels, infield data, and grid info should be standard as specified in srs.. Description: font size, style, and color for headline, description text, labels, infield data, and grid info should be standard as specified in srs.","Title: font size, style, and color for headline, description text, labels, infield data, and grid info should be standard as specified in srs.",1.0,"font size, style, and color should be standard as specified in srs.",0.7058823529411764,"Font size, style, and color for headline, description text, labels, infield data, and grid info should be standard as specified in SRS.",1.0," font size, style, and color for headline, description text, labels, infield data, and grid info should be standard as specified in srs.",1.0
37,the description text box should be multilined.,the description text box should be multilined.,Title: the description text box should be multilined.. Description: the description text box should be multilined.,Title: description text box should be multilined.,0.923076923076923,title: the description text box should be multilined.,1.0,Title: The description text box should be multilined.,1.0,Title: the description text box should be multilined.,1.0
40,the user should not be able to type in dropdown select lists.,the user should be able totype in a dropdown list in addition to the usual drop down action of selecting an option from the list.,Title: the user should not be able to type in dropdown select lists.. Description: the user should be able totype in a dropdown list in addition to the usual drop down action of selecting an option from the list.,the user should not be able to type in dropdown select lists.,1.0,the user should not be able to type in dropdown select lists .,1.0,The user should not be able to type in dropdown select lists.,1.0,The user should be able totype in a dropdown list in addition to the usual drop down action of selecting an option.,0.4705882352941177
41,information filled by users should remain intact when there is an error message on page submit. the user should be able to submit the form again by correcting the errors.,"whenever an error ocurs on page submit, then the user enetred information on rest of the fields where the inputs are valid, should retain there values. the user should be able to submit the form again by correcting the errors.","Title: information filled by users should remain intact when there is an error message on page submit. the user should be able to submit the form again by correcting the errors.. Description: whenever an error ocurs on page submit, then the user enetred information on rest of the fields where the inputs are valid, should retain there values. the user should be able to submit the form again by correcting the errors.","the user should be able to submit the form again by correcting the errors. Whenever an error ocurs on page submit, then the user enetred information on rest of the fields where the inputs are valid,",0.606060606060606,the user should be able to submit the form again by correcting the errors .,0.6363636363636364,information filled by users should remain intact when there is an error message on page submit. the user should be able to submit the form again by correcting the errors.,1.0,Information filled by users should remain intact when there is an error message on page submit. the user should be able to submit the form again by correcting the errors.,1.0
42,check if proper field labels are used in error messages.,"in the error messages which occur due to a particular field, the fieldlabel in such error message should be correct.","Title: check if proper field labels are used in error messages.. Description: in the error messages which occur due to a particular field, the fieldlabel in such error message should be correct.","In the error messages which occur due to a particular field, the fieldlabel should be correct.",0.3076923076923077,title: check if proper field labels are used in error messages . error messages occur due to a particular field.,0.7142857142857143,Check if proper field labels are used in error messages.,1.0,Check if proper field labels are used in error messages.,1.0
43,check if the dropdown list options are readable and not truncated due to field size limits.,the drop down list options should have readable labels. if the option labels are longer then usual then proper formatting should be in place but these labels should not be truncated,Title: check if the dropdown list options are readable and not truncated due to field size limits.. Description: the drop down list options should have readable labels. if the option labels are longer then usual then proper formatting should be in place but these labels should not be truncated,if the dropdown list options are longer then usual then proper formatting should be in place but these labels should not be truncated due to field size limits.,0.5909090909090908,the dropdown list options should have readable labels . if the option labels are longer than usual then proper formatting should be in place .,0.358974358974359,Check if the drop down list options are readable and not truncated.,0.7142857142857143, check if the dropdown list options are readable and not truncated due to field size limits.,1.0
44,all buttons on a page should be accessible by keyboard shortcuts and the user should be able to perform all operations using a keyboard.,"in adition to mouse actions, the fields on a page should be accessible by keyboard shortcuts. whichever fucntions can be performed by mouse should be accessible wit keyboard as well","Title: all buttons on a page should be accessible by keyboard shortcuts and the user should be able to perform all operations using a keyboard.. Description: in adition to mouse actions, the fields on a page should be accessible by keyboard shortcuts. whichever fucntions can be performed by mouse should be accessible wit keyboard as well",whichever fucntions can be performed by mouse should be accessible by keyboard shortcuts.,0.3783783783783784,all buttons on a page should be accessible by keyboard shortcuts . user should be able to perform all operations using a keyboard .,0.9565217391304348,all buttons on a page should be accessible by keyboard shortcuts,0.6285714285714286,All buttons on a page should be accessible by keyboard shortcuts. The user should be able to perform all operations using a keyboard.,0.9787234042553191
45,check all pages for broken images.,"all the images , icons etc. should be intact and visible correctly. none of the images hsould be broken.","Title: check all pages for broken images.. Description: all the images , icons etc. should be intact and visible correctly. none of the images hsould be broken.","All the images, icons etc. should be intact and visible correctly.",0.23529411764705885,none of the images hsould be broken .,0.30769230769230765,Check all pages for broken images. Make sure all images are intact.,0.6666666666666666,Title: check all pages for broken images. Description: all the images should be intact and visible correctly. none of the images hsould be broken.,0.41379310344827586
46,check all pages for broken links.,all the links should be intact and visible correctly. none of the images hsould be broken.,Title: check all pages for broken links.. Description: all the links should be intact and visible correctly. none of the images hsould be broken.,Title: Check all pages for broken links. All links should be intact and visible correctly.,0.6,all the links should be intact and visible correctly . none of the images should be broken .,0.2727272727272727,Check all pages for broken links and images.,0.8571428571428571,All links should be intact and visible correctly. none of the images hsould be broken.,0.28571428571428575
47,all pages should have a title.,all pages should have a title.,Title: all pages should have a title.. Description: all pages should have a title.,Title: All pages should have a title.,1.0,title: all pages should have a title.,1.0,Title: All pages should have a title.,1.0,Title: all pages should have a title. Description: All pages should be described.,0.6666666666666666
48,confirmation messages should be displayed before performing any update or delete operation.,whenever any update or delete action is performed then the proper warning or error message should be there.,Title: confirmation messages should be displayed before performing any update or delete operation.. Description: whenever any update or delete action is performed then the proper warning or error message should be there.,Whenever any update or delete action is performed then the proper warning or error message should be there.,0.4,confirmation messages should be displayed before performing any update or delete operation . proper warning or error message should be there .,0.7499999999999999,Confirmation messages should be displayed before performing any update or delete operation.,1.0,Confirmation messages should be displayed before performing any update or delete operation.,1.0
49,hourglass should be displayed when the application is busy.,"during an event such as page loading in progress, an hourglass icon should be displayed.","Title: hourglass should be displayed when the application is busy.. Description: during an event such as page loading in progress, an hourglass icon should be displayed.",Title: Hourglass should be displayed when the application is busy.,1.0,hourglass should be displayed during an event such as page loading in progress .,0.3636363636363637,hourglass should be displayed when the application is busy.,1.0, hourglass should be displayed when the application is busy.,1.0
50,page text should be leftjustified.,page text should be leftjustified.,Title: page text should be leftjustified.. Description: page text should be leftjustified.,Title: page text should be leftjustified.,1.0,title: page text should be leftjustified..,1.0,Page text should be left-justified.,0.7272727272727272,Page text should be leftjustified.,1.0
51,the user should be able to select only one radio option and any combination for checkboxes.,the user should be able to select only one radio option and any combination for checkboxes.,Title: the user should be able to select only one radio option and any combination for checkboxes.. Description: the user should be able to select only one radio option and any combination for checkboxes.,User should be able to select only one radio option and any combination for checkboxes.,0.967741935483871,user should be able to select only one radio option and any combination for checkboxes .,0.967741935483871,The user should be able to select only one radio option and any combination for checkboxes.,1.0,The user should be able to select only one radio option and any combination for checkboxes.,1.0
52,the user should be able to filter results using all parameters on the page.,the user should be able to filter results using all parameters on the page.,Title: the user should be able to filter results using all parameters on the page.. Description: the user should be able to filter results using all parameters on the page.,User should be able to filter results using all parameters on the page.,0.962962962962963,the user should be able to filter results using all parameters on the page .,1.0,The user should be able to filter results using all parameters on the page.,1.0,The user should be able to filter results using all parameters on the page.,1.0
53,refine search functionality should load the search page with all userselected search parameters.,the search functionality should filter and load the search page with all userselected search parameters.,Title: refine search functionality should load the search page with all userselected search parameters.. Description: the search functionality should filter and load the search page with all userselected search parameters.,Title: refine search functionality should filter and load search page with all userselected search parameters.,0.888888888888889,the search functionality should filter and load the search page with all userselected search parameters.,0.8571428571428571,Refine search functionality should load the search page with all userselected search parameters.,1.0, refine search functionality should load the search page with all userselected search parameters.,1.0
54,"when there are at least one filter criteria required to perform the search operation, make sure the proper error message is displayed when the user submits the page without selecting any filter criteria.","when there are at least one filter criteria required to perform the search operation, make sure the proper error message is displayed when the user submits the page without selecting any filter criteria.","Title: when there are at least one filter criteria required to perform the search operation, make sure the proper error message is displayed when the user submits the page without selecting any filter criteria.. Description: when there are at least one filter criteria required to perform the search operation, make sure the proper error message is displayed when the user submits the page without selecting any filter criteria.","when there are at least one filter criteria required to perform the search operation, make sure the proper error message is displayed when the user submits the page without selecting any filter criteria.",1.0,make sure the proper error message is displayed when the user submits the page without selecting any filter criteria .,0.7307692307692308,Make sure the proper error message is displayed when the user submits the page without selecting any filter criteria.,0.7307692307692308,Make sure the proper error message is displayed when the user submits the page without selecting any filter criteria.,0.7307692307692308
55,"when at least one filter criteria selection is not compulsory, the user should be able to submit the page and the default search criteria should get used to query results.","when at least one filter criteria selection is not compulsory, the user should be able to submit the page and the default search criteria should get used to query results.","Title: when at least one filter criteria selection is not compulsory, the user should be able to submit the page and the default search criteria should get used to query results.. Description: when at least one filter criteria selection is not compulsory, the user should be able to submit the page and the default search criteria should get used to query results.","when at least one filter criteria selection is not compulsory, the user should be able to submit the page and the default search criteria should get used to query results.",1.0,default search criteria should get used to query results .,0.4615384615384615,"When at least one filter criteria selection is not compulsory, the user should be able to submit the page and the default search criteria should get used to query results.",1.0,"When at least one filter criteria selection is not compulsory, the user should be able to submit the page and the default search criteria should get used to query results.",1.0
